Nome,Sobrenome,Email,Cidade,Estado
Bianca,Cunha,BiancaOliveiraCunha@superrito.com,São Bernardo do Campo,SP
Alex,Cardoso,AlexCavalcantiCardoso@superrito.com,Sertãozinho,SP
Igor,Oliveira,IgorMartinsOliveira@dayrep.com,Bauru,SP
Alex,Sousa,AlexCarvalhoSousa@superrito.com,Araçatuba,SP
Felipe,Martins,FelipePintoMartins@armyspy.com,Itaquaquecetuba,SP
Isabelle,Azevedo,IsabelleMartinsAzevedo@dayrep.com,São Carlos,SP
Evelyn,Almeida,EvelynBarrosAlmeida@superrito.com,Bauru,SP
Renan,Sousa,RenanAlvesSousa@dayrep.com,Caucaia,CE
Rodrigo,Cavalcanti,RodrigoAzevedoCavalcanti@fleckens.hu,Fortaleza,CE
Livia,Cardoso,LiviaRochaCardoso@armyspy.com,Jaboatão dos Guararapes,PE
Leonor,Carvalho,LeonorCunhaCarvalho@jourrapide.com,Rio de Janeiro,RJ
Manuela,Cardoso,ManuelaSilvaCardoso@einrot.com,Araxá,MG
Beatrice,Fernandes,BeatriceGomesFernandes@superrito.com,Lins,SP
Kauê,Cunha,KaueSouzaCunha@einrot.com,Serra,ES
Luiz,Castro,LuizCostaCastro@armyspy.com,Praia Grande,SP
Vitoria,Castro,VitoriaAzevedoCastro@jourrapide.com,Campinas,SP
Marisa,Pinto,MarisaRochaPinto@rhyta.com,Betim,MG
Mateus,Cavalcanti,MateusBarbosaCavalcanti@jourrapide.com,Curitiba,PR
Tomás,Gomes,TomasAlvesGomes@rhyta.com,Ceilândia,DF
Gustavo,Cavalcanti,GustavoRodriguesCavalcanti@armyspy.com,Poá,SP
Camila,Rocha,CamilaBarbosaRocha@armyspy.com,São Gonçalo,RJ
Diego,Souza,DiegoRochaSouza@superrito.com,Santa Maria,DF
Luiza,Fernandes,LuizaSouzaFernandes@einrot.com,Rio de Janeiro,RJ
Kauã,Barros,KauaPereiraBarros@superrito.com,Criciúma,SC
Julian,Pereira,JulianCardosoPereira@armyspy.com,Macapá,AP
Leonor,Ribeiro,LeonorCavalcantiRibeiro@fleckens.hu,Belém,PA
Julia,Barros,JuliaAlvesBarros@teleworm.us,Nilópolis,RJ
Aline,Ribeiro,AlineCunhaRibeiro@cuvox.de,Guarapuava,PR
Melissa,Barros,MelissaMartinsBarros@superrito.com,Aparecida de Goiânia,GO
Clara,Santos,ClaraDiasSantos@armyspy.com,Santo André,SP
Marisa,Pereira,MarisaAzevedoPereira@fleckens.hu,Uberlândia,MG
Melissa,Dias,MelissaPereiraDias@einrot.com,Samambaia,DF
Larissa,Ferreira,LarissaPereiraFerreira@rhyta.com,Samambaia,DF
Matilde,Oliveira,MatildeSousaOliveira@fleckens.hu,Praia Grande,SP
Letícia,Goncalves,LeticiaAzevedoGoncalves@cuvox.de,Camaragibe,PE
Luana,Cavalcanti,LuanaSousaCavalcanti@teleworm.us,Santarém,PA
Carlos,Almeida,CarlosCorreiaAlmeida@cuvox.de,São Gonçalo,RJ
Lucas,Carvalho,LucasCavalcantiCarvalho@einrot.com,Rio de Janeiro,RJ
Bianca,Melo,BiancaMartinsMelo@teleworm.us,Ribeirão Preto,SP
Amanda,Dias,AmandaPereiraDias@teleworm.us,Anápolis,GO
Vinícius,Martins,ViniciusPereiraMartins@gustr.com,Novo Hamburgo,RS
Mariana,Sousa,MarianaBarbosaSousa@dayrep.com,São Lourenço da Mata,PE
Laura,Ribeiro,LauraSantosRibeiro@dayrep.com,Belo Horizonte,MG
Daniel,Rodrigues,DanielCardosoRodrigues@teleworm.us,Santa Maria,DF
Fernanda,Araujo,FernandaGomesAraujo@gustr.com,Palmas,TO
José,Rocha,JoseSousaRocha@teleworm.us,João Pessoa,PB
Gabrielly,Oliveira,GabriellySouzaOliveira@gustr.com,São Paulo,SP
Giovanna,Castro,GiovannaCavalcantiCastro@gustr.com,Manaus,AM
Marisa,Ribeiro,MarisaCarvalhoRibeiro@fleckens.hu,Curitiba,PR
Tomás,Rodrigues,TomasCardosoRodrigues@teleworm.us,Araucária,PR
Giovanna,Martins,GiovannaOliveiraMartins@superrito.com,Salvador,BA
Sarah,Barbosa,SarahGomesBarbosa@gustr.com,Campinas,SP
Tomás,Gomes,TomasRochaGomes@gustr.com,Guarapari,ES
Kaua,Rodrigues,KauaAlmeidaRodrigues@teleworm.us,Embu,SP
Joao,Goncalves,JoaoSilvaGoncalves@armyspy.com,Curitiba,PR
Thaís,Costa,ThaisRodriguesCosta@jourrapide.com,Recife,PE
Luana,Araujo,LuanaFerreiraAraujo@teleworm.us,Japeri,RJ
Tânia,Barbosa,TaniaCastroBarbosa@einrot.com,Avaré,SP
Laura,Correia,LauraLimaCorreia@superrito.com,Novo Hamburgo,RS
Breno,Carvalho,BrenoRibeiroCarvalho@superrito.com,Guarulhos,SP
Julieta,Castro,JulietaSousaCastro@teleworm.us,Taubaté,SP
Rafaela,Melo,RafaelaCardosoMelo@superrito.com,Limeira,SP
André,Castro,AndreCostaCastro@rhyta.com,Jaboatão dos Guararapes,PE
Carlos,Ribeiro,CarlosCorreiaRibeiro@einrot.com,Francisco Beltrão,PR
Luis,Barbosa,LuisAlmeidaBarbosa@einrot.com,Macapá,AP
Larissa,Rodrigues,LarissaSilvaRodrigues@einrot.com,Goiânia,GO
Lara,Oliveira,LaraBarbosaOliveira@fleckens.hu,Ribeirão Preto,SP
Renan,Cunha,RenanFerreiraCunha@fleckens.hu,São Gonçalo,RJ
Vinícius,Correia,ViniciusRibeiroCorreia@cuvox.de,Guarujá,SP
Beatriz,Barbosa,BeatrizGoncalvesBarbosa@dayrep.com,Maceió,AL
Paulo,Rocha,PauloFerreiraRocha@dayrep.com,Franca,SP
Kauê,Martins,KaueOliveiraMartins@armyspy.com,Salvador,BA
Douglas,Souza,DouglasSousaSouza@gustr.com,Campinas,SP
Thaís,Lima,ThaisSilvaLima@cuvox.de,Manaus,AM
Douglas,Pinto,DouglasAlvesPinto@dayrep.com,Cataguases,MG
Kauan,Dias,KauanCavalcantiDias@fleckens.hu,Osasco,SP
Isabelle,Barros,IsabelleOliveiraBarros@gustr.com,Recanto das Emas,DF
Kai,Cardoso,KaiBarrosCardoso@teleworm.us,Rio Claro,SP
Alice,Araujo,AliceFerreiraAraujo@fleckens.hu,Sobral,CE
Pedro,Martins,PedroAzevedoMartins@einrot.com,Cacoal,RO
Laura,Sousa,LauraSantosSousa@cuvox.de,Nova Friburgo,RJ
Leonardo,Araujo,LeonardoGomesAraujo@jourrapide.com,Santo Ângelo,RS
Estevan,Oliveira,EstevanFernandesOliveira@armyspy.com,Queimados,RJ
Evelyn,Barbosa,EvelynCunhaBarbosa@cuvox.de,Uberlândia,MG
Beatrice,Martins,BeatriceCostaMartins@jourrapide.com,Franca,SP
Isabela,Castro,IsabelaPereiraCastro@teleworm.us,Brasília,DF
Davi,Dias,DaviRibeiroDias@dayrep.com,Indaiatuba,SP
Fábio,Ferreira,FabioDiasFerreira@teleworm.us,Nova Iguaçu,RJ
Arthur,Araujo,ArthurCarvalhoAraujo@armyspy.com,Petrolina,PE
Guilherme,Ribeiro,GuilhermeSousaRibeiro@superrito.com,Rio de Janeiro,RJ
Larissa,Almeida,LarissaCardosoAlmeida@fleckens.hu,Porto Alegre,RS
Rafael,Pereira,RafaelGomesPereira@armyspy.com,Capão Bonito,SP
Rafael,Barros,RafaelBarbosaBarros@fleckens.hu,Belo Horizonte,MG
Rebeca,Barros,RebecaCarvalhoBarros@cuvox.de,Salvador,BA
Leonor,Souza,LeonorLimaSouza@fleckens.hu,Suzano,SP
Renan,Pinto,RenanRochaPinto@cuvox.de,Cariacica,ES
Renan,Fernandes,RenanBarrosFernandes@einrot.com,Foz do Iguaçu,PR
Sarah,Barros,SarahCarvalhoBarros@jourrapide.com,Sobral,CE
Julia,Castro,JuliaRibeiroCastro@fleckens.hu,Avaré,SP
Ryan,Costa,RyanDiasCosta@gustr.com,São Paulo,SP
Gabrielly,Martins,GabriellyRochaMartins@dayrep.com,Sertãozinho,SP
Luis,Goncalves,LuisMeloGoncalves@cuvox.de,Ponta Grossa,PR
Ana,Oliveira,AnaCunhaOliveira@fleckens.hu,Itapetininga,SP
Giovana,Araujo,GiovanaSousaAraujo@superrito.com,Ituiutaba,MG
Carolina,Silva,CarolinaCarvalhoSilva@dayrep.com,Salvador,BA
Martim,Rocha,MartimAlmeidaRocha@dayrep.com,Divinópolis,MG
Beatriz,Pinto,BeatrizSilvaPinto@dayrep.com,Rio de Janeiro,RJ
Fábio,Santos,FabioFernandesSantos@superrito.com,Itajubá,MG
Luiza,Alves,LuizaGoncalvesAlves@armyspy.com,São Paulo,SP
Luan,Cardoso,LuanRibeiroCardoso@teleworm.us,Recanto das Emas,DF
Kauã,Cavalcanti,KauaBarbosaCavalcanti@dayrep.com,Araxá,MG
Paulo,Alves,PauloGoncalvesAlves@teleworm.us,Campos dos Goytacazes,RJ
Julian,Rodrigues,JulianCunhaRodrigues@dayrep.com,São Paulo,SP
Vinícius,Ribeiro,ViniciusCavalcantiRibeiro@gustr.com,Sorocaba,SP
Sophia,Rodrigues,SophiaPintoRodrigues@armyspy.com,Cabo Frio,RJ
Vinicius,Correia,ViniciusMartinsCorreia@fleckens.hu,Pindamonhangaba,SP
Thiago,Dias,ThiagoSantosDias@gustr.com,Joinville,SC
Eduardo,Cardoso,EduardoSousaCardoso@rhyta.com,Uberaba,MG
Beatrice,Pereira,BeatriceAzevedoPereira@jourrapide.com,Toledo,PR
Bianca,Dias,BiancaPereiraDias@armyspy.com,Volta Redonda,RJ
Marina,Gomes,MarinaCarvalhoGomes@jourrapide.com,Feira de Santana,BA
Thaís,Fernandes,ThaisSousaFernandes@armyspy.com,Goiânia,GO
Camila,Martins,CamilaMeloMartins@gustr.com,Indaiatuba,SP
Marisa,Castro,MarisaPereiraCastro@superrito.com,Rio de Janeiro,RJ
Kauan,Rocha,KauanCavalcantiRocha@jourrapide.com,Jacareí,SP
Gabriel,Melo,GabrielGoncalvesMelo@teleworm.us,Anápolis,GO
Livia,Correia,LiviaCostaCorreia@superrito.com,Americana,SP
Mariana,Silva,MarianaPintoSilva@rhyta.com,Rio de Janeiro,RJ
Ana,Gomes,AnaAlvesGomes@armyspy.com,Betim,MG
Douglas,Silva,DouglasFernandesSilva@teleworm.us,Poços de Caldas,MG
Joao,Rodrigues,JoaoGoncalvesRodrigues@armyspy.com,Governador Valadares,MG
Fábio,Barros,FabioRodriguesBarros@cuvox.de,São Paulo,SP
Gabrielly,Costa,GabriellyPintoCosta@armyspy.com,Curitiba,PR
Vitória,Souza,VitoriaAlvesSouza@jourrapide.com,Alvorada,RS
Giovana,Carvalho,GiovanaMartinsCarvalho@jourrapide.com,São Paulo,SP
Isabela,Dias,IsabelaSantosDias@cuvox.de,Campinas,SP
Thaís,Santos,ThaisOliveiraSantos@cuvox.de,Olinda,PE
Bruna,Cavalcanti,BrunaRochaCavalcanti@teleworm.us,Recife,PE
Victor,Costa,VictorLimaCosta@cuvox.de,Campina Grande,PB
Manuela,Pinto,ManuelaAlvesPinto@superrito.com,Fortaleza,CE
Carlos,Ferreira,CarlosSousaFerreira@superrito.com,Sousa,PB
Anna,Santos,AnnaAlmeidaSantos@fleckens.hu,Pelotas,RS
Isabela,Cavalcanti,IsabelaCastroCavalcanti@cuvox.de,Linhares,ES
Eduarda,Araujo,EduardaAlvesAraujo@fleckens.hu,Botucatu,SP
Diogo,Correia,DiogoPintoCorreia@cuvox.de,Araçatuba,SP
Luana,Rodrigues,LuanaRibeiroRodrigues@cuvox.de,Caxias do Sul,RS
Tânia,Ribeiro,TaniaCorreiaRibeiro@jourrapide.com,Salvador,BA
Martim,Gomes,MartimMartinsGomes@cuvox.de,São Paulo,SP
Ana,Santos,AnaCorreiaSantos@teleworm.us,Salvador,BA
Larissa,Cunha,LarissaFernandesCunha@superrito.com,Ribeirão Preto,SP
André,Fernandes,AndreBarbosaFernandes@armyspy.com,Itaúna,MG
Vitór,Castro,VitorSilvaCastro@fleckens.hu,São José dos Campos,SP
Guilherme,Costa,GuilhermeCorreiaCosta@teleworm.us,Ipatinga,MG
Beatriz,Castro,BeatrizSantosCastro@einrot.com,São Paulo,SP
Luiz,Castro,LuizCostaCastro@superrito.com,Nova Iguaçu,RJ
Isabelle,Fernandes,IsabelleMartinsFernandes@rhyta.com,Porto Velho,RO
Alex,Alves,AlexCarvalhoAlves@armyspy.com,Queimados,RJ
Evelyn,Cardoso,EvelynBarbosaCardoso@dayrep.com,Tucuruí,PA
Julian,Pereira,JulianCorreiaPereira@fleckens.hu,Paragominas,PA
Mariana,Rodrigues,MarianaFerreiraRodrigues@armyspy.com,Goiânia,GO
Gabrielle,Castro,GabrielleAzevedoCastro@einrot.com,São Paulo,SP
Nicolash,Fernandes,NicolashAraujoFernandes@fleckens.hu,Goiânia,GO
Gabriela,Fernandes,GabrielaGomesFernandes@fleckens.hu,Núcleo Bandeirante,DF
Aline,Sousa,AlineCavalcantiSousa@armyspy.com,Santa Luzia,MG
Felipe,Barros,FelipeAraujoBarros@teleworm.us,Caxias do Sul,RS
Tânia,Ferreira,TaniaSantosFerreira@teleworm.us,Birigüi,SP
Laura,Cardoso,LauraOliveiraCardoso@rhyta.com,Petrópolis,RJ
Carolina,Cavalcanti,CarolinaRodriguesCavalcanti@armyspy.com,Feira de Santana,BA
Leila,Goncalves,LeilaSouzaGoncalves@einrot.com,Gravataí,RS
João,Pereira,JoaoAraujoPereira@gustr.com,São Paulo,SP
Ryan,Rodrigues,RyanDiasRodrigues@cuvox.de,São Gonçalo,RJ
Aline,Santos,AlineFerreiraSantos@cuvox.de,Guaratinguetá,SP
Bruna,Gomes,BrunaAraujoGomes@jourrapide.com,Caçapava,SP
João,Santos,JoaoSousaSantos@rhyta.com,Natal,RN
Matilde,Alves,MatildeSantosAlves@cuvox.de,Valinhos,SP
Kai,Dias,KaiOliveiraDias@armyspy.com,Santa Luzia,MG
Tânia,Silva,TaniaPereiraSilva@rhyta.com,Campo Grande,MS
Alice,Lima,AliceDiasLima@einrot.com,Ribeirão Preto,SP
Tomás,Dias,TomasRibeiroDias@superrito.com,Guarujá,SP
Emily,Cunha,EmilyBarrosCunha@armyspy.com,Ribeirão das Neves,MG
Sofia,Pinto,SofiaCostaPinto@armyspy.com,Guarapuava,PR
Laura,Cardoso,LauraAraujoCardoso@fleckens.hu,Rio de Janeiro,RJ
Mariana,Alves,MarianaAzevedoAlves@jourrapide.com,Mauá,SP
Vinícius,Dias,ViniciusAraujoDias@gustr.com,Maringá,PR
Tomás,Cavalcanti,TomasCunhaCavalcanti@jourrapide.com,Recife,PE
Gustavo,Azevedo,GustavoGoncalvesAzevedo@cuvox.de,Palmas,TO
Amanda,Pereira,AmandaPintoPereira@gustr.com,Cotia,SP
Gustavo,Costa,GustavoBarbosaCosta@cuvox.de,Formosa,GO
Beatriz,Silva,BeatrizAlvesSilva@gustr.com,Bagé,RS
Gabrielle,Almeida,GabrielleCarvalhoAlmeida@dayrep.com,Cascavel,PR
Giovanna,Sousa,GiovannaCavalcantiSousa@dayrep.com,Guarujá,SP
Arthur,Costa,ArthurOliveiraCosta@armyspy.com,Fortaleza,CE
Thaís,Correia,ThaisSousaCorreia@gustr.com,Jaboatão dos Guararapes,PE
Felipe,Rocha,FelipeCorreiaRocha@cuvox.de,São Paulo,SP
Thiago,Costa,ThiagoRodriguesCosta@teleworm.us,Divinópolis,MG
Samuel,Alves,SamuelMartinsAlves@gustr.com,São José dos Campos,SP
Guilherme,Castro,GuilhermePintoCastro@teleworm.us,Niterói,RJ
Carla,Pereira,CarlaAzevedoPereira@jourrapide.com,Americana,SP
Rebeca,Martins,RebecaSilvaMartins@teleworm.us,Governador Valadares,MG
Sophia,Araujo,SophiaCarvalhoAraujo@einrot.com,Curitiba,PR
Paulo,Barros,PauloGoncalvesBarros@superrito.com,Recife,PE
Nicolash,Goncalves,NicolashBarrosGoncalves@teleworm.us,Indaiatuba,SP
Vitoria,Correia,VitoriaCastroCorreia@teleworm.us,Anápolis,GO
Isabelle,Azevedo,IsabelleCastroAzevedo@dayrep.com,São Luís,MA
Diego,Dias,DiegoPintoDias@fleckens.hu,Juiz de Fora,MG
Diogo,Sousa,DiogoMartinsSousa@armyspy.com,São Paulo,SP
Clara,Oliveira,ClaraRibeiroOliveira@cuvox.de,Petrópolis,RJ
Samuel,Correia,SamuelPereiraCorreia@armyspy.com,Salvador,BA
Maria,Cunha,MariaCorreiaCunha@rhyta.com,Rio de Janeiro,RJ
Estevan,Cardoso,EstevanCastroCardoso@teleworm.us,Rio Verde,GO
Lara,Araujo,LaraOliveiraAraujo@rhyta.com,Curitiba,PR
Bruna,Ferreira,BrunaSousaFerreira@jourrapide.com,Bauru,SP
Gustavo,Goncalves,GustavoRibeiroGoncalves@dayrep.com,São Gonçalo,RJ
Larissa,Cardoso,LarissaAraujoCardoso@einrot.com,Campina Grande,PB
Vitoria,Dias,VitoriaSantosDias@jourrapide.com,Juiz de Fora,MG
Gabriela,Pereira,GabrielaSousaPereira@teleworm.us,Aracaju,SE
Aline,Dias,AlineGomesDias@dayrep.com,Montes Claros,MG
Sofia,Sousa,SofiaGomesSousa@einrot.com,Araras,SP
Julian,Cavalcanti,JulianSantosCavalcanti@superrito.com,Porto Alegre,RS
Rafael,Dias,RafaelSantosDias@cuvox.de,São Paulo,SP
Beatrice,Santos,BeatriceFerreiraSantos@einrot.com,João Monlevade,MG
Sofia,Sousa,SofiaAlmeidaSousa@cuvox.de,Caucaia,CE
Vitória,Cardoso,VitoriaGomesCardoso@jourrapide.com,Rio de Janeiro,RJ
Mariana,Azevedo,MarianaCavalcantiAzevedo@einrot.com,Aparecida de Goiânia,GO
Diogo,Pinto,DiogoPereiraPinto@superrito.com,Rio de Janeiro,RJ
Vitória,Goncalves,VitoriaSousaGoncalves@teleworm.us,Colatina,ES
Cauã,Costa,CauaSilvaCosta@cuvox.de,Itabira,MG
Thaís,Pereira,ThaisMeloPereira@superrito.com,Recanto das Emas,DF
Lara,Ribeiro,LaraCarvalhoRibeiro@teleworm.us,Campo Limpo Paulista,SP
João,Cavalcanti,JoaoLimaCavalcanti@rhyta.com,Belo Horizonte,MG
Manuela,Fernandes,ManuelaMartinsFernandes@dayrep.com,Rio de Janeiro,RJ
Vitoria,Almeida,VitoriaRodriguesAlmeida@superrito.com,Mauá,SP
Júlio,Melo,JulioBarbosaMelo@dayrep.com,Coronel Fabriciano,MG
Vitória,Cunha,VitoriaCavalcantiCunha@superrito.com,Araguari,MG
Douglas,Ribeiro,DouglasFerreiraRibeiro@jourrapide.com,Caruaru,PE
Leonardo,Rocha,LeonardoAlvesRocha@rhyta.com,Valparaíso de Goiás,GO
Tânia,Sousa,TaniaPintoSousa@superrito.com,Taubaté,SP
Estevan,Carvalho,EstevanFernandesCarvalho@rhyta.com,Blumenau,SC
Emily,Cardoso,EmilyPintoCardoso@gustr.com,Anápolis,GO
Gabrielle,Araujo,GabrielleRibeiroAraujo@dayrep.com,Divinópolis,MG
Leonardo,Oliveira,LeonardoAlmeidaOliveira@einrot.com,Passos,MG
Melissa,Cardoso,MelissaAlvesCardoso@teleworm.us,Suzano,SP
Yasmin,Ferreira,YasminPereiraFerreira@teleworm.us,Salvador,BA
Gabriel,Pereira,GabrielFerreiraPereira@rhyta.com,Cascavel,PR
Clara,Goncalves,ClaraCostaGoncalves@superrito.com,Ananindeua,PA
Ana,Barros,AnaRibeiroBarros@teleworm.us,Porto Alegre,RS
Manuela,Costa,ManuelaDiasCosta@superrito.com,São Paulo,SP
Rebeca,Cardoso,RebecaCunhaCardoso@fleckens.hu,Campina Grande,PB
Letícia,Goncalves,LeticiaRibeiroGoncalves@teleworm.us,São Paulo,SP
Estevan,Cunha,EstevanFernandesCunha@teleworm.us,Cascavel,PR
Isabella,Gomes,IsabellaCardosoGomes@jourrapide.com,São José dos Campos,SP
Gabriela,Souza,GabrielaCunhaSouza@fleckens.hu,Bauru,SP
Emilly,Gomes,EmillyRibeiroGomes@gustr.com,Nova Friburgo,RJ
Igor,Barros,IgorGomesBarros@armyspy.com,Bauru,SP
Vitor,Goncalves,VitorCastroGoncalves@armyspy.com,Presidente Prudente,SP
Livia,Gomes,LiviaCostaGomes@rhyta.com,Atibaia,SP
Aline,Ribeiro,AlineSantosRibeiro@dayrep.com,Volta Redonda,RJ
Beatriz,Pereira,BeatrizSilvaPereira@dayrep.com,Porto Alegre,RS
Beatrice,Goncalves,BeatriceCardosoGoncalves@cuvox.de,Vila Velha,ES
Ana,Goncalves,AnaFerreiraGoncalves@gustr.com,Teresina,PI
Kauê,Fernandes,KaueRochaFernandes@teleworm.us,Ribeirão das Neves,MG
Rafael,Barros,RafaelAlmeidaBarros@einrot.com,Rio de Janeiro,RJ
Amanda,Cavalcanti,AmandaSantosCavalcanti@dayrep.com,Campinas,SP
Gabrielle,Cavalcanti,GabrielleMartinsCavalcanti@dayrep.com,Uberlândia,MG
André,Lima,AndreCastroLima@jourrapide.com,Franco da Rocha,SP
Felipe,Ribeiro,FelipeDiasRibeiro@rhyta.com,Jacareí,SP
Isabella,Melo,IsabellaAlmeidaMelo@cuvox.de,Fortaleza,CE
Evelyn,Cunha,EvelynSilvaCunha@dayrep.com,Aparecida de Goiânia,GO
Vitor,Araujo,VitorRodriguesAraujo@cuvox.de,Paulista,PE
Vitor,Costa,VitorCunhaCosta@dayrep.com,São Bernardo do Campo,SP
Laura,Silva,LauraCarvalhoSilva@superrito.com,Florianópolis,SC
Júlio,Correia,JulioAlmeidaCorreia@rhyta.com,Itatiba,SP
Rafael,Rodrigues,RafaelAraujoRodrigues@dayrep.com,Aparecida de Goiânia,GO
Otávio,Castro,OtavioSantosCastro@superrito.com,Hortolândia,SP
Arthur,Fernandes,ArthurCostaFernandes@rhyta.com,Porto Alegre,RS
Matheus,Oliveira,MatheusAlmeidaOliveira@rhyta.com,Ourinhos,SP
Carolina,Carvalho,CarolinaLimaCarvalho@teleworm.us,Manaus,AM
André,Almeida,AndreAlvesAlmeida@cuvox.de,Campinas,SP
Carolina,Sousa,CarolinaPintoSousa@fleckens.hu,Luziânia,GO
Nicolas,Correia,NicolasAzevedoCorreia@einrot.com,Piracicaba,SP
Vitor,Alves,VitorBarbosaAlves@gustr.com,Campo Mourão,PR
Luana,Fernandes,LuanaAraujoFernandes@cuvox.de,São Paulo,SP
Amanda,Martins,AmandaGoncalvesMartins@armyspy.com,Recife,PE
Samuel,Rodrigues,SamuelCavalcantiRodrigues@jourrapide.com,Taguatinga,DF
João,Gomes,JoaoMeloGomes@fleckens.hu,Rio de Janeiro,RJ
Arthur,Goncalves,ArthurAzevedoGoncalves@einrot.com,Taboão da Serra,SP
Júlio,Martins,JulioMeloMartins@rhyta.com,Aparecida de Goiânia,GO
Estevan,Dias,EstevanGomesDias@rhyta.com,São Paulo,SP
Emily,Silva,EmilyRodriguesSilva@dayrep.com,Jundiaí,SP
Julian,Alves,JulianSantosAlves@cuvox.de,Jacareí,SP
Danilo,Costa,DaniloMartinsCosta@teleworm.us,Recife,PE
Alex,Dias,AlexCorreiaDias@superrito.com,Santos,SP
Anna,Barbosa,AnnaCarvalhoBarbosa@rhyta.com,Araçatuba,SP
Gabriel,Castro,GabrielCavalcantiCastro@cuvox.de,Belo Horizonte,MG
Estevan,Goncalves,EstevanMeloGoncalves@gustr.com,Olinda,PE
Carlos,Correia,CarlosAraujoCorreia@rhyta.com,Osasco,SP
Thaís,Martins,ThaisCorreiaMartins@dayrep.com,Pirassununga,SP
Gustavo,Santos,GustavoRodriguesSantos@einrot.com,Salvador,BA
Camila,Cunha,CamilaFerreiraCunha@einrot.com,Porto Alegre,RS
Luiza,Azevedo,LuizaSilvaAzevedo@jourrapide.com,Natal,RN
Giovanna,Silva,GiovannaCostaSilva@dayrep.com,Betim,MG
Bruno,Carvalho,BrunoSousaCarvalho@rhyta.com,Campina Grande,PB
Marina,Souza,MarinaGoncalvesSouza@jourrapide.com,Guarapuava,PR
Fábio,Ribeiro,FabioPereiraRibeiro@teleworm.us,Carapicuíba,SP
Estevan,Ferreira,EstevanDiasFerreira@teleworm.us,Santos,SP
Emily,Goncalves,EmilyLimaGoncalves@fleckens.hu,Jaú,SP
Marcos,Dias,MarcosGoncalvesDias@armyspy.com,Belford Roxo,RJ
Gabriela,Barros,GabrielaCardosoBarros@armyspy.com,Joinville,SC
Nicolas,Oliveira,NicolasSilvaOliveira@armyspy.com,Santo André,SP
Gustavo,Sousa,GustavoCostaSousa@dayrep.com,Santa Maria,DF
Emilly,Souza,EmillySantosSouza@rhyta.com,São Paulo,SP
Fábio,Lima,FabioGomesLima@teleworm.us,Santo André,SP
Kai,Costa,KaiAlvesCosta@rhyta.com,Niterói,RJ
Ágatha,Sousa,AgathaBarrosSousa@jourrapide.com,Igarassu,PE
Kauan,Ribeiro,KauanFerreiraRibeiro@teleworm.us,Ceilândia,DF
Mariana,Barros,MarianaCastroBarros@fleckens.hu,Guarulhos,SP
Nicole,Cunha,NicoleOliveiraCunha@einrot.com,Osasco,SP
Isabelle,Rocha,IsabellePintoRocha@armyspy.com,Cruzeiro,DF
Caio,Cunha,CaioAlvesCunha@gustr.com,Rio de Janeiro,RJ
Gustavo,Oliveira,GustavoAlvesOliveira@rhyta.com,Petrolina,PE
Tânia,Cunha,TaniaMeloCunha@armyspy.com,Manaus,AM
Larissa,Cardoso,LarissaLimaCardoso@superrito.com,Caxias do Sul,RS
Letícia,Santos,LeticiaPintoSantos@superrito.com,São Paulo,SP
Laura,Costa,LauraMartinsCosta@rhyta.com,Florianópolis,SC
Isabela,Oliveira,IsabelaBarrosOliveira@gustr.com,Rio de Janeiro,RJ
Giovanna,Melo,GiovannaGoncalvesMelo@superrito.com,Fortaleza,CE
Leila,Correia,LeilaCastroCorreia@gustr.com,Macapá,AP
Lara,Barros,LaraMartinsBarros@gustr.com,Campo Grande,MS
Vitoria,Barbosa,VitoriaSilvaBarbosa@armyspy.com,Ananindeua,PA
Rafael,Melo,RafaelPintoMelo@einrot.com,Foz do Iguaçu,PR
Rafaela,Santos,RafaelaGoncalvesSantos@armyspy.com,São Paulo,SP
Gabrielly,Azevedo,GabriellyBarrosAzevedo@dayrep.com,São Luís,MA
Gustavo,Castro,GustavoCardosoCastro@gustr.com,Caraguatatuba,SP
Rafael,Azevedo,RafaelSousaAzevedo@gustr.com,Palmeira dos Índios,AL
Luan,Correia,LuanAzevedoCorreia@einrot.com,Caucaia,CE
Vitoria,Barbosa,VitoriaGoncalvesBarbosa@jourrapide.com,Nilópolis,RJ
Larissa,Almeida,LarissaCardosoAlmeida@cuvox.de,Duque de Caxias,RJ
Kai,Rodrigues,KaiCunhaRodrigues@gustr.com,Santa Luzia,MG
Gabriel,Pereira,GabrielMartinsPereira@gustr.com,Araraquara,SP
Erick,Ribeiro,ErickDiasRibeiro@armyspy.com,Ilhéus,BA
Amanda,Alves,AmandaSantosAlves@armyspy.com,São Paulo,SP
Luiza,Gomes,LuizaSouzaGomes@fleckens.hu,Campo Grande,MS
Evelyn,Araujo,EvelynCardosoAraujo@jourrapide.com,Sarandi,PR
Kauê,Ferreira,KaueBarbosaFerreira@armyspy.com,Guarapari,ES
Carolina,Pereira,CarolinaOliveiraPereira@rhyta.com,Caruaru,PE
Alex,Dias,AlexRibeiroDias@einrot.com,Pindamonhangaba,SP
Alice,Silva,AliceOliveiraSilva@superrito.com,Catalão,GO
Kaua,Costa,KauaMartinsCosta@armyspy.com,Cascavel,PR
Yasmin,Cardoso,YasminPereiraCardoso@gustr.com,Itabuna,BA
Tiago,Gomes,TiagoRibeiroGomes@rhyta.com,Cachoeiro de Itapemirim,ES
Thaís,Pinto,ThaisAlvesPinto@dayrep.com,Osasco,SP
